cmso_link_id,cmso_object_id
0,4992
0,5121
0,5258
0,5398
0,5024
0,4897
0,5155
0,5294
0,5428
0,5052
0,4928
0,5189
0,5580
0,5331
0,5460
0,4958
0,5089
0,4834
0,5223
0,5490
0,5367
0,4863
1,4864
1,4929
1,4993
1,4835
1,4898
1,5090
1,5054
1,4959
2,5090
2,5122
2,5156
2,5190
2,5224
2,5259
2,5295
2,5332
2,5368
3,4960
3,4865
3,4930
3,4994
3,4836
3,5055
4,5124
4,5640
4,6664
4,7696
4,6161
4,8216
4,8730
4,7195
4,5158
4,5670
4,6696
4,6190
4,7224
4,7736
4,8250
4,8760
4,5699
4,5192
4,6728
4,6219
4,7252
4,8792
4,7771
4,8284
4,5729
4,6248
4,6760
4,5226
4,7278
4,7802
4,8316
4,5762
4,6274
4,6794
4,5261
4,7312
4,8345
4,7837
4,5792
4,6307
4,6825
4,7342
4,5297
4,8377
4,5818
4,7870
4,6339
4,7372
4,6862
4,5334
4,5848
4,8409
4,6367
4,7904
4,8695
4,4837
4,7401
4,8438
4,6903
4,5882
4,5370
4,6398
4,4866
4,7942
4,7436
4,8469
4,5911
4,5400
4,6940
4,6429
4,4899
4,7973
4,5939
4,7475
4,5430
4,8503
4,6457
4,6974
4,4932
4,8009
4,5969
4,6485
4,5462
4,8535
4,7512
4,7008
4,4961
4,6000
4,8048
4,6514
4,5493
4,8565
4,4995
4,7043
4,7555
4,6542
4,6033
4,5523
4,8086
4,8599
4,5025
4,7592
4,6573
4,7086
4,6063
4,5553
4,8118
4,8631
4,5056
4,7628
4,6605
4,5583
4,6097
4,7126
4,8662
4,8153
4,5092
4,6632
4,5609
4,7662
4,6130
4,7158
4,8183
5,4867
5,4996
5,5764
5,5126
5,6275
5,5642
5,6666
5,5263
5,6543
5,6035
5,6163
5,5526
5,5913
5,5402
5,6430
5,5793
5,5027
5,5884
5,4901
5,6308
5,5159
5,5672
5,6698
5,6826
5,6574
5,6191
5,6064
5,5299
5,5555
5,5942
5,5432
5,6458
5,5821
5,5057
5,4931
5,6340
5,5701
5,6729
5,5194
5,6220
5,6606
5,5585
5,5971
5,6099
5,6486
5,5464
5,5336
5,5851
5,6368
5,4962
5,5732
5,4838
5,5094
5,6249
5,6634
5,5611
5,5228
5,6761
5,6001
5,6515
5,6132
5,5495
5,5372
5,6399
6,7009
6,7045
6,6826
6,7404
6,6863
6,7088
6,7279
6,7344
6,7159
6,7316
6,7253
6,7127
6,6904
6,7225
6,7196
6,6941
6,6975
7,7404
7,7439
8,4868
8,4997
8,5125
8,5641
8,5262
8,5524
8,5401
8,5026
8,4900
8,5671
8,5160
8,5552
8,5298
8,5431
8,5059
8,4933
8,5193
8,5584
8,5335
8,5463
8,4963
8,5093
8,4839
8,5610
8,5227
8,5494
8,5371
9,5060
9,4964
9,4998
9,4869
9,4840
9,4934
9,4902
9,5028
9,5127
10,5127
10,5433
10,5161
10,5465
10,5195
10,5229
10,5264
10,5300
10,5337
10,5403
10,5373
11,5888
11,4870
11,4999
11,5128
11,5768
11,5645
11,5265
11,6037
11,5528
11,5404
11,5916
11,5796
11,5029
11,4903
11,5162
11,5675
11,6066
11,5301
11,5557
11,5943
11,5434
11,5824
11,5061
11,4935
11,5705
11,5196
11,5586
11,6101
11,5974
11,5466
11,5338
11,5854
11,4965
11,5095
11,5736
11,4841
11,5613
11,5230
11,6004
